technology,iso3,year,weight,observed,procurement_model,other_cost_fitted,other_cost_observed,model_factual,Q,Q_ratio,beta_B,G_level_gap,G_anchor,B_fit_outside_year_range,P_direct,S_share,T_cn_tariff,K_spillover,G_other,china_contribution_since_2010,model_without_china_contribution
wind,IND,2014,0.13651637298561964,1697.2585891987796,1087.9527959758327,420.3650640677178,609.3057932229469,1508.3178600435506,340.63979000000006,0.7694570854450093,0.177335392834262,0.0,excluded_for_wind,False,87.65310821541557,112.46176448091609,0.0,4.768045554422584,0.0,204.88291825075422,1713.2007782943049
wind,IND,2015,0.13651637298561964,1517.2250364441445,1065.7810948732092,433.3229207964692,451.4439415709353,1499.1040156696783,404.24651,0.7214741816818653,0.177335392834262,0.0,excluded_for_wind,False,66.01959814294055,39.25472448029367,0.0,5.361911275054594,0.0,110.63623389828881,1609.740249567967
wind,IND,2016,0.13651637298561964,1395.643984213105,999.9346642793234,442.0730588538096,395.70931993378167,1442.007723133133,452.48745,0.7146964186520532,0.177335392834262,0.0,excluded_for_wind,False,80.20205708677106,49.47979661522703,-2.720255421521701,5.175496709839838,0.0,132.13709499031623,1574.144818123449
wind,IND,2017,0.13651637298561964,1379.8823534779967,918.8861832780239,449.2788351283991,460.9961701999729,1368.1650184064229,495.6822,0.710261574855825,0.177335392834262,0.0,excluded_for_wind,False,101.78370446752761,76.7449795979891,0.0,4.967778888008647,0.0,183.49646295352534,1551.661481359948
wind,IND,2018,0.13651637298561964,1381.2400608612577,927.3647271676462,456.06977918972444,453.87533369361154,1383.4345063573705,539.4404499999999,0.6995445558448573,0.177335392834262,0.0,excluded_for_wind,False,79.68307797433681,35.87891346608539,0.0,6.616567298405187,0.0,122.17855873882739,1505.613065096198
wind,IND,2019,0.13651637298561964,1255.719701089365,840.3959822085254,463.9631492060352,415.32371888083946,1304.3591314145606,594.24654,0.6876345464291639,0.177335392834262,0.0,excluded_for_wind,False,111.00574608451065,72.61669674469557,0.0,5.011093081286212,0.0,188.63353591049244,1492.992667325053
wind,IND,2020,0.13651637298561964,1222.0443385764129,813.3093496308649,477.434962572142,408.734988945548,1290.7443122030068,698.33524,0.6349287915070704,0.177335392834262,0.0,excluded_for_wind,False,85.93318667251908,28.62157807943616,0.0,6.042962846273522,0.0,120.59772759822877,1411.3420398012356
wind,IND,2021,0.13651637298561964,1051.781225948876,728.8980096987788,485.6970487874982,322.88321625009723,1214.595058486277,769.27527,0.6301816773597831,0.177335392834262,0.0,excluded_for_wind,False,132.7791162247987,80.89678566777995,0.0,7.481278790977265,0.0,221.15718068355594,1435.7522391698328
wind,IND,2022,0.13651637298561964,1191.1010340630933,630.3557723174746,493.30963409655726,560.7452617456187,1123.6654064140318,839.7858299999999,0.622067819362944,0.177335392834262,0.0,excluded_for_wind,False,197.49277924077123,148.01221346334592,0.0,6.4499811639102695,0.0,351.9549738680274,1475.6203802820592
wind,IND,2023,0.13651637298561964,1236.9870705080064,583.7921118180958,503.56748374520157,653.1949586899105,1087.3595955632973,943.12808,0.5902443176116652,0.177335392834262,0.0,excluded_for_wind,False,211.7778879328077,152.2393181251871,0.0,6.189707921313274,0.0,370.2069139793081,1457.5665095426054
